is_discounted,category,brand,weight,length,width,height,class
False,Baby Bedding,Just Born,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106,0
False,Baby Bedding,Nautica,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106,0
False,Baby Bedding,The Peanut Shell,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106,0
False,Baby Bedding,Glenna Jean,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106,1
False,Baby Bedding,Babyletto,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106,1
False,Baby Bedding,Petit Nest,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106,0
False,Baby Bedding,NoJo,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106,1
False,Baby Bedding,CoCalo,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106,1
False,Baby Bedding,Glenna Jean,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106,1
False,Baby Bedding,Glenna Jean,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106,1
False,Baby Bedding,Trend Lab,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106,1
False,Baby Bedding,Dena,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106,1
False,Baby Bedding,Go Mama Go Designs,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106,1
False,Baby Bedding,Wendy Bellissimo,19.2140793918919,52.0,28.0,19.591099966972106,0
False,Baby Bedding,Just Born,19.2140793918919,52.0,28.0,19.591099966972106,0
False,Baby Bedding,The Peanut Shell,19.2140793918919,28.0,52.0,19.591099966972106,0
False,Baby Bedding,Burt's Bees Baby,19.2140793918919,58.0,28.0,5.5,0
False,Baby Bedding,Just Born,19.2140793918919,52.0,25.0,7.0,0
False,Baby Bedding,The Peanut Shell,19.2140793918919,52.0,28.0,19.591099966972106,0
False,Baby Bedding,Oliver B,19.2140793918919,52.0,28.0,19.591099966972106,0
False,Baby Bedding,aden + anais,19.2140793918919,29.0,49.0,19.591099966972106,1
False,Baby Bedding,Lambs & Ivy,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106,0
False,Baby Bedding,aden + anais,19.2140793918919,18.0,26.0,19.591099966972106,1
False,Baby Bedding,TL Care,19.2140793918919,52.0,28.0,9.0,0
False,Baby Bedding,Trend Lab,19.2140793918919,52.0,28.0,19.591099966972106,0
False,Baby Bedding,Living Textiles,19.2140793918919,52.0,27.0,8.0,0
False,Baby Bedding,Trend Lab,19.2140793918919,52.0,28.0,19.591099966972106,0
False,Baby Bedding,Lifenest,19.2140793918919,33.0,27.0,19.591099966972106,0
False,Baby Bedding,Babyletto,19.2140793918919,38.0,24.0,6.0,0
False,Baby Bedding,Perlimpinpin,19.2140793918919,50.75,28.75,19.591099966972106,1
False,Baby Bedding,Sweet Jojo Designs,19.2140793918919,52.0,28.0,8.0,0
False,Baby Bedding,Sweet Jojo Designs,19.2140793918919,52.0,28.0,19.591099966972106,0
False,Baby Bedding,Petit Tresor,19.2140793918919,52.0,28.0,19.591099966972106,0
False,Baby Bedding,Glenna Jean,19.2140793918919,52.0,28.0,19.591099966972106,1
False,Baby Bedding,Disney,19.2140793918919,52.0,28.0,19.591099966972106,0
False,Baby Bedding,Glenna Jean,19.2140793918919,52.0,28.0,19.591099966972106,1
False,Baby Bedding,Trend Lab,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106,0
False,Baby Bedding,My Baby Sam,19.2140793918919,51.0,27.5,8.0,1
False,Baby Bedding,Glenna Jean,19.2140793918919,52.0,28.0,19.591099966972106,1
False,Baby Bedding,Oliver B,19.2140793918919,52.0,28.0,19.591099966972106,0
False,Baby Bedding,TL Care,19.2140793918919,52.0,28.0,19.591099966972106,0
False,Baby Bedding,Skip Hop,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106,1
False,Baby Bedding,aden by aden + anais,19.2140793918919,52.0,28.0,19.591099966972106,1
False,Baby Bedding,Petit Nest,19.2140793918919,52.0,28.0,19.591099966972106,0
True,Baby Bedding,Lambs & Ivy,19.2140793918919,52.0,28.0,19.591099966972106,0
False,Baby Bedding,Baby's First by Nemcor,19.2140793918919,52.0,28.0,19.591099966972106,0
False,Baby Bedding,Babyletto,19.2140793918919,52.0,28.0,7.75,0
False,Baby Bedding,bb Basics,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106,0
False,Baby Bedding,Lolli Living,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106,1
False,Baby Bedding,Jonathan Adler,19.2140793918919,52.0,28.0,8.0,1
False,Baby Bedding,Lambs & Ivy,19.2140793918919,52.0,28.0,19.591099966972106,0
False,Baby Bedding,Belle,19.2140793918919,52.0,28.0,19.591099966972106,0
False,Baby Bedding,Lambs & Ivy,19.2140793918919,52.0,28.0,4.5,0
False,Baby Bedding,TL Care,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106,0
False,Baby Bedding,aden + anais,19.2140793918919,52.0,28.0,19.591099966972106,1
False,Baby Bedding,Glenna Jean,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106,1
False,Baby Bedding,Go Mama Go Designs,19.2140793918919,52.0,30.0,19.591099966972106,0
False,Baby Bedding,aden by aden + anais,19.2140793918919,52.0,28.0,19.591099966972106,0
False,Baby Bedding,Balboa Baby,19.2140793918919,52.0,28.0,19.591099966972106,0
False,Baby Bedding,Just Born,19.2140793918919,52.0,28.0,4.5,0
False,Baby Bedding,Swaddle Designs,19.2140793918919,52.0,28.0,19.591099966972106,1
False,Baby Bedding,NoJo,19.2140793918919,52.0,28.0,19.591099966972106,0
False,Baby Bedding,Summer Infant,19.2140793918919,52.0,28.0,19.591099966972106,1
