is_discounted,brand,weight,length,width,height
False,Star Wars,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,The Elf on the Shelf,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Disney,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Star Wars,19.21407939,26.61558674,19.29409487,6.0
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Star Wars,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Disney Baby,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Disney,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,The Elf on the Shelf,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
True,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,5.0
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Marvel,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
False,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
True,Tervis,19.21407939,26.61558674,19.29409487,19.59109997
